,S&P 500,Very_Conservative,Conservative,Balanced,Aggressive,Very_Aggressive,Dynamic
Date,2000-08-31 ~ 2025-09-23,2000-08-31 ~ 2025-09-23,2000-08-31 ~ 2025-09-23,2000-08-31 ~ 2025-09-23,2000-08-31 ~ 2025-09-23,2000-08-31 ~ 2025-09-23,2000-08-31 ~ 2025-09-23
count,6283,6283,6283,6283,6283,6283,6283
cumulative return,321.16302855075156,1386.8811687889593,1807.9321159752571,1508.9129153930446,807.435715667049,534.0512433283782,8594.053887711974
annualized return mean,0.0593649332059738,0.11434052372919323,0.1255404572391179,0.11787149686252185,0.09248705022259451,0.07689109842076824,0.1961310722806031
annualized return std,0.21375224680854688,0.15676327383605249,0.1623311646692971,0.1706732325111584,0.17926728311807216,0.19178324886038678,0.14302924337564304
annualized return downside std,0.1698321027304801,0.11624059399057174,0.12222622597304778,0.13134079027290868,0.14285614490990262,0.15346583316458395,0.10428241967653373
sharpe ratio,0.2777277623619351,0.7293833621309403,0.7733601708265344,0.6906267323132558,0.515917063135715,0.40092708241032543,1.3712655373943128
sortino ratio,0.34955071656967396,0.9836539869924218,1.0271155493813655,0.897447751133525,0.6474138741523846,0.5010307300016846,1.8807683297814553
gross profit,25.93810671554106,21.886292529664694,22.1650397803299,22.762749184114128,22.962560085750646,23.88221275857214,20.982025498093204
gross loss,-24.50025690159211,-19.187026685775947,-19.216434693572012,-19.984605348009588,-20.757107544839293,-22.035253167950124,-16.51680107428722
profit factor,1.058687132127807,1.1406818204870592,1.1534418394346695,1.1390141955633482,1.1062504752238314,1.0838183966639596,1.2703443847100206
maximum drawdown,-0.5785989990135535,-0.29189024003058334,-0.3159990029022233,-0.3875851983792167,-0.4870247614264279,-0.5288898282492116,-0.272294575323616
calmar ratio,0.10260116817897087,0.39172438145658106,0.39728118154209086,0.30411764266393726,0.18990215189821721,0.145382070733524,0.7202900463496408
profitable years,18,21,24,24,21,20,26
unprofitable years,8,5,2,2,5,6,0
t-statistic,0.0,16.439351798490737,19.542933598440612,16.954347558727868,9.411028329997356,4.837491652533867,42.15079485130316
p_value,1.0,4.2343212589240395e-60,8.27259847499524e-84,9.129382909339854e-64,5.758901702131166e-21,1.3304849293321113e-06,0.0
