,S&P 500,Very_Conservative,Conservative,Balanced,Aggressive,Very_Aggressive,Dynamic
Date,2000-09-30 ~ 2025-09-30,2000-09-30 ~ 2025-09-30,2000-09-30 ~ 2025-09-30,2000-09-30 ~ 2025-09-30,2000-09-30 ~ 2025-09-30,2000-09-30 ~ 2025-09-30,2000-09-30 ~ 2025-09-30
count,301,301,301,301,301,301,301
cumulative return,338.6247223581756,1358.0240662117665,1770.8270823280914,1479.2653558233644,793.0770194568386,524.9884530542294,4162.5422336253305
annualized return mean,0.06071423269099818,0.11274572531101423,0.12386023462338769,0.11629490156251054,0.09121214911035347,0.07579399567178036,0.16136886935699501
annualized return std,0.1653030773419073,0.14617104836501738,0.14443011766330316,0.14524656053179408,0.1415394375229333,0.1484515867720677,0.12345127629816055
annualized return downside std,0.12553078664143524,0.09113475285587014,0.10779691177007367,0.11584107422588108,0.1167880924855429,0.11781971291615267,0.09724984427263861
sharpe ratio,0.3672903957221493,0.7713273358310078,0.8575789913301312,0.8006723266748469,0.6444292185036739,0.5105637286865402,1.3071462215364673
sortino ratio,0.48366009897174983,1.2371320684801979,1.1490146850178455,1.0039176720318093,0.7810055560385537,0.6433048748448381,1.659322650477461
gross profit,5.900624000673163,6.066086120433122,5.997280565247824,5.890840514995816,5.528063901597013,5.594094120288717,6.048674232925023
gross loss,-4.422149985740292,-3.3864188876707537,-3.0683148491536585,-3.1312956477612413,-3.33856126243577,-3.7615311318243068,-2.2962233891885337
profit factor,1.3343337561368052,1.7912982184568125,1.9545844739180105,1.8812789265707137,1.6558222141365804,1.4871853838879794,2.6341837041658978
maximum drawdown,-0.5255585947031326,-0.24985086530316752,-0.2660554177287835,-0.33751537849642166,-0.4442775928078025,-0.4865238858299014,-0.2509625970322189
calmar ratio,0.11552324194278141,0.45125209061897487,0.4655429898054195,0.3445617858379852,0.20530441009617262,0.15578679254872077,0.6429996790967153
profitable years,18,21,24,24,21,20,25
unprofitable years,8,5,2,2,5,6,1
t-statistic,0.0,4.090956073655362,4.9908259598314055,4.382148913669563,2.4313884982118594,1.1775438104520775,8.464261191986784
p_value,1.0,4.882884767209749e-05,7.888295072573453e-07,1.3872187003686277e-05,0.015332788300980659,0.2394453901202645,1.9792768398014915e-16
