,S&P 500,Very_Conservative,Conservative,Balanced,Aggressive,Very_Aggressive,Dynamic
Date,2000-09-10 ~ 2025-09-28,2000-09-10 ~ 2025-09-28,2000-09-10 ~ 2025-09-28,2000-09-10 ~ 2025-09-28,2000-09-10 ~ 2025-09-28,2000-09-10 ~ 2025-09-28,2000-09-10 ~ 2025-09-28
count,1308,1308,1308,1308,1308,1308,1308
cumulative return,337.7335058148275,1365.7796372808082,1784.358047264131,1489.0859096059498,795.3753053726855,525.156044584377,6546.130399927231
annualized return mean,0.06045323360603572,0.11264717762984522,0.12381434268612512,0.11622574854274337,0.091056643387047,0.07558515649696895,0.18156295400698585
annualized return std,0.1939099597403755,0.15610450840568557,0.1585801112048757,0.16281444126244282,0.165490112910484,0.17501438778683287,0.1401085706003491
annualized return downside std,0.15698430413091868,0.11112998424195131,0.12320841321839704,0.1314100271328149,0.1371975123426672,0.14480449160260522,0.10240468514631518
sharpe ratio,0.3117593015179626,0.7216138648417308,0.780768418847712,0.7138540515297258,0.5502240694965316,0.4318796725960125,1.2958732876155221
sortino ratio,0.3850909423124245,1.0136524215156073,1.0049179228260494,0.8844511418087987,0.6636901925715836,0.5219807456277072,1.7729946022251797
gross profit,12.004427232265396,11.217870725272899,11.17363160963011,11.09928603295591,10.796886456135132,11.102402865618334,10.9395168000408
gross loss,-10.527987127260975,-8.532898355746747,-8.237459312219865,-8.333541988666774,-8.604813676133036,-9.269571761697723,-6.742896916493231
profit factor,1.140239543148885,1.3146612390756856,1.3564414931985858,1.3318809754664245,1.2547495927869066,1.1977255423485635,1.6223763963056548
maximum drawdown,-0.5624407840199663,-0.26780507785671526,-0.2967512504747769,-0.37452031786837897,-0.4809386623525207,-0.5234288385282022,-0.22424885087200422
calmar ratio,0.10748373041861356,0.42063122376684453,0.4172327580356701,0.3103322917278673,0.1893310946174335,0.14440388250196964,0.8096494287527812
profitable years,19,21,24,24,21,20,26
unprofitable years,7,5,2,2,5,6,0
t-statistic,0.0,7.582882483869539,9.14795864485324,7.966407482407287,4.3416712599548095,2.095109751809546,18.309031409869643
p_value,1.0,4.6655268956106227e-14,1.1355261602236352e-19,2.4150786873350054e-15,1.4678376789170691e-05,0.03625724017937145,1.4967630813413366e-70
