,S&P 500,Equal,Dynamic
Mean,0.028138785610052147,0.043786417808642675,0.08282886585672032
Standard deviation,0.05349351937357447,0.14085824333846877,0.294798991441067
Standard error,0.007085389730358518,0.018657130106114354,0.03904708029938342
t-statistic,4.7544,2.953,2.9076
Min,-0.10393933581887575,-0.4828100103845111,-0.35709934029060386
25%,-0.0004602049459795152,-0.015555354729441109,-0.05210119779712585
50%,0.03611112397781893,0.03627424517177166,0.025941271812243878
75%,0.06284374416574759,0.10046246952055865,0.15289289501453834
Max,0.1289019162322705,0.38466737913345794,1.4952593468764865
Skew,-0.6011262163287622,-0.44892959024045853,2.3761315878247347
Kurtosis,-0.2054507188868775,3.5522831305492883,9.01569255456688
