datadate,cshtrd_TSLA,prccd_TSLA,cshtrd_NVDA,prccd_NVDA,cshtrd_MSFT,prccd_MSFT,cshtrd_GOOG,prccd_GOOG,cshtrd_AAPL,prccd_AAPL,cshtrd_DIS,prccd_DIS,cshtrd_XOM,prccd_XOM,cshtrd_CRM,prccd_CRM,cshtrd_INTC,prccd_INTC,cshtrd_AMZN,prccd_AMZN,sent_AMZN,sent_AAPL,sent_CRM,sent_DIS,sent_GOOG,sent_INTC,sent_MSFT,sent_NVDA,sent_TSLA,sent_XOM
2014-03-27,9493537,207.32,13450390,17.79,35215570,39.36,13052,558.46,7904344,537.46,9177250,78.48,15378200,96.24,6195543,55.97,27096720,25.31,5761711,338.47,,,,,,,,,,
2014-03-28,9666658,212.37,9970437,17.9,43414400,40.3,41003,559.99,7100433,536.86,5280432,78.99,12295570,97.7,5098287,55.75,22771490,25.62,3976769,338.29,,,,,,,,,,
2014-03-31,8367389,208.45,6835058,17.91,46840570,40.99,10772,556.97,5969709,536.74,6848827,80.07,12372940,97.68,6506143,57.09,29241860,25.814,4276550,336.365,,,0.166666667,,,,,,,
2014-04-01,7353574,216.97,16406760,18.65,32604260,41.42,7932,567.16,7152806,541.65,6554979,81.57,9475255,97.73,5356587,58.8,23778450,25.99,3599779,342.99,,,0.333333333,,,,,0,,
2014-04-02,10738310,230.29,5998666,18.53,28614590,41.35,146697,567,6400542,542.55,6072890,81.67,9550004,97.95,4792115,58.15,22374400,25.89,4465927,341.96,,,-0.166666667,,,,,,,
2014-04-03,10908080,225.4,14978910,18.73,29986320,41.01,5080231,569.74,5781823,538.79,4901303,81.69,10113010,97.93,6029320,55.74,38394360,26.41,6377000,333.62,,,,,,,,0,,
2014-04-04,11320310,212.225,9200826,18.15,51342010,39.87,6350969,543.14,9802175,531.82,8894429,80.43,12496070,97.36,6483760,54.41,47829470,26.16,12522090,323,,,,,,,,,,
2014-04-07,9828543,207.52,10698490,18.21,37543980,39.8,4364932,538.15,10306710,523.47,9000581,79.13,10120740,96.78,6017670,53.97,49693490,26.485,7004704,317.76,,,,,,,,,,
2014-04-08,6874813,215.46,11749130,18.86,35918620,39.82,3141406,554.9,8697273,523.44,7085061,79.57,10243010,97.45,8798754,55.21,56564370,26.91,6577434,327.07,,,0.333333333,,,,,,,
2014-04-09,5139881,216.93,10549190,18.84,27331630,40.47,3321485,564.14,7336813,530.32,7004815,80.47,10463920,97.33,7362299,56.95,34467000,26.98,5056220,331.805,,,0.5,,,,,,,
2014-04-10,7187816,204.19,9318740,18.38,45936930,39.36,4025527,540.95,8528828,523.48,10149530,77.51,13443380,96.78,10897360,54.55,40390460,26.425,6124760,317.11,,,0.833333333,,,,,0,,
2014-04-11,9065584,203.78,8827791,18.12,34329160,39.209,3913747,530.6,9702954,519.61,9204142,77.01,13352530,96.72,6425092,52.87,36120620,26.1799,7285729,311.73,,,,,,,,0,,
2014-04-14,7685123,198.09,7254619,18.32,32005420,39.18,2561317,532.52,7321819,521.68,5964608,77.62,9609968,97.86,4860496,53.78,26847410,26.56,4290192,315.91,,,0.166666667,,,,,,,
2014-04-15,13653420,193.91,7615921,18.45,33966410,39.75,3840157,536.44,9494552,517.9599,6398091,77.66,12961540,98.68,6121367,55.23,44819130,26.77,5397514,316.08,,,,,,,,,,
2014-04-16,7191261,199.11,5878433,18.49,30282610,40.4,4775043,556.54,7502254,519.01,5954797,78.95,12508090,99.94,4516832,55.98,53065350,26.93,4279829,323.68,,,0.416666667,,,,,,,
2014-04-17,5924244,198.12,3838325,18.56,36688000,40.01,6780479,536.1,10139800,524.94,7627723,79.99,15435740,100.42,3816966,56.1,38107750,27.04,4298913,324.91,,,-0.333333333,,,,,,,
2014-04-21,5253883,204.38,2925085,18.71,22200560,39.94,2556088,528.62,6506640,531.17,7080262,79.11,7934240,100.93,3009527,56.11,20364470,26.95,2990747,330.87,,,0.666666667,,,,,,,
2014-04-22,9794687,218.64,6376610,18.87,27052740,39.99,2358577,534.81,7229676,531.699,5875008,79.45,8211754,100.37,4660771,57.08,29600840,26.84,3709148,329.32,,,,,,,,,,
2014-04-23,7268439,207.99,6539508,19.09,24556290,39.69,2042590,526.94,13353370,524.75,4148626,79.52,8685953,100.5,4229081,55.64,25563600,26.75,3585766,324.58,,,,,,,,,,
2014-04-24,5491680,207.86,9783759,19.26,41840750,39.86,1876048,525.16,27084050,567.77,4632682,79.59,9057792,100.01,6003005,54.73,25376930,26.75,9071653,337.15,,,0.416666667,,,,,,,
